"Local Area (2011 LSOA)","Name","Overall rank(2019)","Quintile","Income(2019)","Quintile","Employment(2019)","Quintile","Health(2019)","Quintile","Education(2019)","Quintile","Access to Services(2019)","Quintile","Housing(2019)","Quintile","Community Safety(2019)","Quintile","Physical Environment(2019)","Quintile",
"W01000059","W01000059 - Cadnant (Gwynedd)","357","11%-20% most deprived","298","11%-20% most deprived","319","11%-20% most deprived","525","21%-30% most deprived","557","21%-30% most deprived","539","21%-30% most deprived","674","31%-50% most deprived","60","10% most deprived","1664","50% least deprived",
"W01000060","W01000060 - Corris/Mawddwy","768","31%-50% most deprived","1187","50% least deprived","1380","50% least deprived","1502","50% least deprived","1508","50% least deprived","13","10% most deprived","34","10% most deprived","1685","50% least deprived","845","31%-50% most deprived",
"W01000061","W01000061 - Criccieth","1615","50% least deprived","1140","50% least deprived","1356","50% least deprived","1527","50% least deprived","1386","50% least deprived","1565","50% least deprived","1269","50% least deprived","1626","50% least deprived","1861","50% least deprived",
"W01000062","W01000062 - Deiniol","875","31%-50% most deprived","1457","50% least deprived","1676","50% least deprived","888","31%-50% most deprived","771","31%-50% most deprived","339","11%-20% most deprived","164","10% most deprived","49","10% most deprived","1238","50% least deprived",
"W01000063","W01000063 - Deiniolen","663","31%-50% most deprived","743","31%-50% most deprived","868","31%-50% most deprived","899","31%-50% most deprived","1269","50% least deprived","170","10% most deprived","93","10% most deprived","675","31%-50% most deprived","1366","50% least deprived",
"W01000064","W01000064 - Dewi","1016","50% least deprived","862","31%-50% most deprived","953","31%-50% most deprived","1023","50% least deprived","1297","50% least deprived","805","31%-50% most deprived","622","31%-50% most deprived","397","21%-30% most deprived","1159","50% least deprived",
"W01000065","W01000065 - Diffwys and Maenofferen","679","31%-50% most deprived","692","31%-50% most deprived","599","31%-50% most deprived","847","31%-50% most deprived","513","21%-30% most deprived","1323","50% least deprived","322","11%-20% most deprived","519","21%-30% most deprived","919","31%-50% most deprived",
"W01000066","W01000066 - Dolbenmaen","904","31%-50% most deprived","1152","50% least deprived","1168","50% least deprived","1302","50% least deprived","1541","50% least deprived","92","10% most deprived","73","10% most deprived","1785","50% least deprived","1141","50% least deprived",
"W01000067","W01000067 - Dolgellau North","1222","50% least deprived","1385","50% least deprived","1078","50% least deprived","1347","50% least deprived","1176","50% least deprived","546","21%-30% most deprived","855","31%-50% most deprived","466","21%-30% most deprived","871","31%-50% most deprived",
"W01000068","W01000068 - Dolgellau South","1224","50% least deprived","1105","50% least deprived","883","31%-50% most deprived","1120","50% least deprived","904","31%-50% most deprived","1189","50% least deprived","1015","50% least deprived","1034","50% least deprived","1649","50% least deprived",
"W01000069","W01000069 - Dyffryn Ardudwy","1339","50% least deprived","1319","50% least deprived","1334","50% least deprived","1497","50% least deprived","976","50% least deprived","277","11%-20% most deprived","1424","50% least deprived","1612","50% least deprived","1287","50% least deprived",
"W01000070","W01000070 - Efail-newydd/Buan","1177","50% least deprived","1269","50% least deprived","1503","50% least deprived","1569","50% least deprived","1344","50% least deprived","135","10% most deprived","296","11%-20% most deprived","1590","50% least deprived","1316","50% least deprived",
"W01000071","W01000071 - Gerlan","957","50% least deprived","781","31%-50% most deprived","981","50% least deprived","961","50% least deprived","1286","50% least deprived","438","21%-30% most deprived","356","11%-20% most deprived","1148","50% least deprived","1831","50% least deprived",
"W01000072","W01000072 - Glyder","1502","50% least deprived","1259","50% least deprived","1151","50% least deprived","1696","50% least deprived","1711","50% least deprived","985","50% least deprived","554","21%-30% most deprived","1309","50% least deprived","1889","50% least deprived",
"W01000073","W01000073 - Groeslon","1375","50% least deprived","1393","50% least deprived","1480","50% least deprived","1394","50% least deprived","1502","50% least deprived","271","11%-20% most deprived","583","31%-50% most deprived","1609","50% least deprived","1430","50% least deprived",
"W01000074","W01000074 - Harlech","1254","50% least deprived","1115","50% least deprived","1310","50% least deprived","1284","50% least deprived","1215","50% least deprived","237","11%-20% most deprived","1073","50% least deprived","1605","50% least deprived","1477","50% least deprived",
"W01000075","W01000075 - Hendre (Gwynedd)","753","31%-50% most deprived","827","31%-50% most deprived","1061","50% least deprived","739","31%-50% most deprived","638","31%-50% most deprived","484","21%-30% most deprived","315","11%-20% most deprived","376","11%-20% most deprived","1555","50% least deprived",
"W01000076","W01000076 - Hirael & Garth 1","1132","50% least deprived","1287","50% least deprived","1394","50% least deprived","1596","50% least deprived","659","31%-50% most deprived","1155","50% least deprived","208","11%-20% most deprived","133","10% most deprived","1892","50% least deprived",
"W01000077","W01000077 - Hirael & Garth 2","938","31%-50% most deprived","1051","50% least deprived","1347","50% least deprived","1129","50% least deprived","919","31%-50% most deprived","1013","50% least deprived","155","10% most deprived","480","21%-30% most deprived","176","10% most deprived",
"W01000078","W01000078 - Llanaelhaearn","800","31%-50% most deprived","707","31%-50% most deprived","1030","50% least deprived","1278","50% least deprived","967","50% least deprived","138","10% most deprived","273","11%-20% most deprived","1301","50% least deprived","1756","50% least deprived",
"W01000079","W01000079 - Llanbedr","1018","50% least deprived","1207","50% least deprived","1469","50% least deprived","1450","50% least deprived","1047","50% least deprived","142","10% most deprived","109","10% most deprived","1838","50% least deprived","1444","50% least deprived",
